number,z,log(1+z),logM*,log(sSFR/sSFR(MS)),"kpc/""",R1/2,del-R1/2,vrot,del-vrot,sigma-intrinsic,del-s,vrot/sintr,del-vrot/sintr,B/T,n(Sersic),M_bulge,Mmol-gas,Mbaryon,log(S* (R1/2)),log(S* (1kpc)),logSgas,fgas,logMgas/M*,SFRbest,sSFR,(V-J)rf,(U-V)rf,,type,logSSFR ,
,,,,Whitaker 14,,(kpc),(kpc),(km/s),(km/s),(km/s),(km/s),,,,,Msun,Msun,Msun,Msun kpc^-2,Msun kpc^-2,Msun/kpc^2,(baryonic),,Msun/yr,Gyr^-1,,,,,(Msun/yr/kpc^2),
74,0.912,0.282,10.83,-0.10,7.83,3.19,0.48,274,14,31,10,8.9,2.9,-99,4.097,-1.0E+03,1.70E+10,8.46E+10,9.03,,8.43,0.20,-0.599,15.4,0.23,1.355,1.495,1.882,r-SFG,-0.617,74
75,0.922,0.284,11.11,0.20,7.85,5.72,0.86,179,5,23,12,7.8,4.1,0.558,2.974,7.2E+10,3.82E+10,1.67E+11,8.80,9.684,8.27,0.23,-0.528,43.2,0.34,1.479,1.707,1.992,r-SFG,-0.677,75
76,0.669,0.223,10.76,-0.30,7.03,6.67,1.00,246,5,46,20,5.3,2.3,0.453,3.13,2.6E+10,8.33E+09,6.59E+10,8.31,9.572,7.47,0.13,-0.840,6.0,0.10,1.863,1.647,2.329,r-SFG,-1.672,76
77,0.955,0.291,11.13,-0.34,7.93,9.08,1.36,65,8,36,17,1.8,0.9,0.99,5.478,1.3E+11,2.07E+10,1.56E+11,8.42,9.793,7.60,0.13,-0.815,13.6,0.10,1.421,1.678,1.940,r-SFG,-1.580,77
78,0.954,0.291,10.95,-0.07,7.92,31.02,4.65,299,3,36,17,8.4,4.0,1,8,8.9E+10,2.20E+10,1.11E+11,7.17,9.845,6.56,0.20,-0.608,19.8,0.22,1.374,1.675,1.899,r-SFG,-2.484,78
79,1.018,0.305,10.31,0.33,8.05,6.36,0.95,273,6,49,20,5.6,2.3,0,0.981,0.0E+00,1.81E+10,3.85E+10,7.91,8.555,7.85,0.47,-0.052,34.1,1.67,1.025,0.953,1.492,b-SFG,-0.872,79
80,0.833,0.263,10.07,0.36,7.62,7.60,1.14,130,5,48,17,2.7,1.0,0,0.81,0.0E+00,1.07E+10,2.24E+10,7.51,8.409,7.47,0.48,-0.042,21.1,1.79,0.935,0.968,1.513,b-SFG,-1.236,80
81,1.019,0.305,10.51,-0.27,8.05,7.63,1.14,227,5,17,7,13.6,5.7,0,0.895,0.0E+00,1.09E+10,4.33E+10,7.95,8.505,7.47,0.25,-0.473,10.3,0.32,1.483,1.535,1.895,r-SFG,-1.551,81
82,1.022,0.306,10.12,-0.12,8.06,2.84,0.43,165,15,35,20,,,0.077,1.033,1.0E+09,7.49E+09,2.07E+10,8.42,8.803,8.17,0.36,-0.246,9.3,0.71,1.263,1.371,1.701,r-SFG,-0.735,82
83,1.040,0.310,10.15,0.26,8.09,2.34,0.35,122,17,31,20,3.9,2.6,0.428,0.816,6.0E+09,1.31E+10,2.72E+10,8.61,8.641,8.58,0.48,-0.032,24.0,1.70,0.952,1.049,1.428,b-SFG,-0.156,83
84,0.913,0.282,9.9,-0.24,7.83,2.36,0.35,153,15,19,5,8.1,2.3,-99,1.339,-1.0E+03,3.97E+09,1.19E+10,8.36,,8.06,0.33,-0.301,4.4,0.55,0.956,1.122,1.531,b-SFG,-0.901,84
85,0.802,0.256,10.59,-0.08,7.53,4.67,0.70,210,14,26,7,8.0,2.2,0.085,1.354,3.3E+09,1.15E+10,5.04E+10,8.45,9.036,7.92,0.23,-0.530,11.7,0.30,1.182,1.159,1.730,b-SFG,-1.066,85
86,0.824,0.261,10.59,-0.95,7.59,2.79,0.42,281,14,21,7,13.5,4.6,0.269,3.28,1.0E+10,3.87E+09,4.28E+10,8.90,9.699,7.90,0.09,-1.002,1.7,0.04,1.385,1.674,1.909,r-SFG,-1.471,86
87,0.913,0.282,9.96,0.49,7.83,2.48,0.37,138,7,32,7,4.3,1.0,-99,1.456,-1.0E+03,1.13E+10,2.04E+10,8.37,,8.46,0.55,0.092,25.9,2.84,0.717,0.820,1.321,b-SFG,-0.174,87
88,0.921,0.283,9.85,-0.19,7.85,4.23,0.63,106,9,27,7,4.0,1.1,-99,0.94,-1.0E+03,3.86E+09,1.09E+10,7.80,,7.54,0.35,-0.263,4.5,0.63,0.672,0.752,1.281,b-SFG,-1.401,88
89,2.313,0.520,10.48,0.19,8.19,1.89,0.28,240,10,51,15,4.7,1.4,0.098,1.01,3.0E+09,5.11E+10,8.13E+10,9.13,9.818,9.36,0.63,0.228,123.8,4.10,1.355,1.030,1.782,b-SFG,0.741,89
90,2.245,0.511,8.6,-1.14,8.23,4.62,0.69,182,9,55,7,3.3,0.4,0,0.64,0.0E+00,1.63E+08,5.61E+08,6.47,9.07,6.09,0.29,-0.387,0.1,0.22,0.652,0.927,1.164,b-SFG,-3.188,90
